BikeId;Rental Start Date;Rental End Date;Duration;Fare (in Cents);Starting Location;Ending Location;Rough Distance (KM)
1157;28.11.2021 15:50;28.11.2021 16:20;00:29:48;200;37.9473954,32.5220975;37.949790954589844,32.51332092285156;0.814363701
1150;28.11.2021 15:41;28.11.2021 18:14;02:33:26;500;37.9474067,32.5221284;37.94736862182617,32.522071838378906;0.006521169
1296;28.11.2021 15:28;28.11.2021 16:18;00:49:52;200;37.9790463,32.5171575;37.97908020019531,32.517120361328125;0.00498048
1175;28.11.2021 15:26;28.11.2021 15:55;00:29:12;200;37.9497764,32.5132474;37.978981018066406,32.5171012878418;3.264932745
1096;28.11.2021 15:10;28.11.2021 16:36;01:25:58;350;37.8740161,32.489588;37.85839080810547,32.542938232421875;4.995119936
1214;28.11.2021 14:49;28.11.2021 16:36;01:47:02;350;37.8721315,32.4988677;37.8584098815918,32.542991638183594;4.163035844
1275;28.11.2021 14:49;28.11.2021 15:09;00:20:23;200;37.8719483,32.4987095;37.873931884765625,32.489498138427734;0.838066867
1206;28.11.2021 14:34;28.11.2021 15:54;01:19:59;350;37.8658097,32.4890105;37.86585998535156,32.48881912231445;0.017705758
1264;28.11.2021 14:05;28.11.2021 15:09;01:04:05;200;37.9790935,32.5172055;38.01374053955078,32.521148681640625;3.868038897
1223;28.11.2021 14:03;28.11.2021 15:09;01:06:38;200;37.9790538,32.5171866;38.01356887817383,32.5211296081543;3.853423029
1100;28.11.2021 13:49;28.11.2021 14:11;00:21:32;200;38.0137986,32.5211438;38.009429931640625,32.52254867553711;0.501123476
1154;28.11.2021 13:07;28.11.2021 13:21;00:13:40;200;37.9497443,32.5133575;37.947330474853516,32.522071838378906;0.809880088
1263;28.11.2021 12:25;28.11.2021 17:35;05:09:16;800;37.85591703229687,32.470494161879465;37.8532600402832,32.488948822021484;1.646966148
1227;28.11.2021 11:33;28.11.2021 12:23;00:49:52;200;37.852800352279246,32.4885446232524;37.856021881103516,32.4705810546875;1.617307565
1167;28.11.2021 11:33;28.11.2021 17:35;06:02:22;950;37.853112,32.4886201;37.85285186767578,32.48841094970703;0.034261913
1242;28.11.2021 10:09;28.11.2021 10:36;00:27:01;200;38.02260729286854,32.51247857450803;38.009521484375,32.5225715637207;1.702651725
1144;28.11.2021 03:17;28.11.2021 03:40;00:22:41;200;37.8707294,32.5150928;37.865509033203125,32.5359992980957;1.924791818
1222;28.11.2021 01:05;28.11.2021 03:39;02:33:32;500;37.8584092,32.5429643;37.865638732910156,32.53578186035156;1.021665362
1222;28.11.2021 01:00;28.11.2021 01:05;00:04:30;50;37.858302,32.5430587;37.85881042480469,32.542911529541016;0.057991871
1118;28.11.2021 00:55;28.11.2021 03:16;02:21:24;500;37.8584279,32.5430227;37.870601654052734,32.515140533447266;2.797005386
1305;28.11.2021 00:54;28.11.2021 03:39;02:44:32;500;37.8583767,32.5431;37.865478515625,32.53614044189453;0.99843814
1295;27.11.2021 23:48;27.11.2021 23:49;00:00:41;0;37.9498235,32.5134195;37.94981002807617,32.51340866088867;0.001774063
1112;27.11.2021 23:41;27.11.2021 23:58;00:17:22;200;37.87759992378753,32.48281721568758;37.856048583984375,32.470619201660156;2.624740544
1295;27.11.2021 23:03;27.11.2021 23:40;00:36:49;200;37.9497415,32.51332;37.94984817504883,32.51335906982422;0.012346508
1154;27.11.2021 23:01;27.11.2021 23:46;00:44:32;200;37.9497387,32.5133022;37.94976043701172,32.51329040527344;0.002629005
